INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=9328;StartDate=2017.01.13,20:20;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2020_faLog.txt
INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=9328;StartDate=2017.01.13,20:20;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2020_faLog.txt
KILL;AttackerName=1IUSMC Haraldt;AttackerTeam=2;AttackerPos=-36.312,68.682,-83.074;VictimName=2IG|15 The_Spine;VictimTeam=1;VictimPos=-21.579,69.144,-88.700;VictimKit=jp_RifleAssault;VictimVehicle=jp_rilfe_khaki;AttackerKit=UW_Engineer_M1903a1_Satchel_nowrench;AttackerVehicle=up_cpl;AttackerWeapon=m1903a1;Time=887
SCORE ScoreDiff=-4;PlayerName=2IG|15 Xant;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=jp_rilfe_khaki;PlayerPos=-18.772,69.033,-60.775;Time=890;Scoretype=TKs
KILL;AttackerName=2IG|15 Xant;AttackerTeam=1;AttackerPos=-18.772,69.033,-60.775;VictimName=2IG|15 knokworst;VictimTeam=1;VictimPos=-30.431,69.084,-71.731;VictimKit=JP_LMG_Limited;VictimVehicle=jp_rilfe_khaki;AttackerKit=JP_Engineer_type93;AttackerVehicle=jp_rilfe_khaki;AttackerWeapon=arisaka1;Time=890
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lvt-4;Time=891
SCORE ScoreDiff=1;PlayerName=2IG|15 GABBOTTO;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=8inch_defgun;PlayerPos=-25.827,68.474,-26.095;Time=891;Scoretype=kills
KILL;AttackerName=2IG|15 GABBOTTO;AttackerTeam=1;AttackerPos=-25.827,68.474,-26.095;VictimName=7|USMC Spieler4;VictimTeam=2;VictimPos=-27.831,65.118,45.773;VictimKit=UP_RifleAssault;VictimVehicle=lvt-4;AttackerKit=JP_Engineer_type93;AttackerVehicle=8inch_defgun;AttackerWeapon=8inch_defgun_barrel;Time=891
EXIT PlayerName=7|USMC Spieler4;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=85.2;Time=891
SCORE ScoreDiff=1;PlayerName=2IG|15 GABBOTTO;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=8inch_defgun;PlayerPos=-25.827,68.474,-26.095;Time=891;Scoretype=kills
KILL;AttackerName=2IG|15 GABBOTTO;AttackerTeam=1;AttackerPos=-25.827,68.474,-26.095;VictimName=7USMC michaelau999;VictimTeam=2;VictimPos=-27.831,65.118,45.773;VictimKit=UP_Scout;VictimVehicle=lvt-4;AttackerKit=JP_Engineer_type93;AttackerVehicle=8inch_defgun;AttackerWeapon=8inch_defgun_barrel;Time=891
EXIT PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=0.1;Time=891
SCORE ScoreDiff=1;PlayerName=2IG|18 DanielNL;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=type97_chiha;PlayerPos=8.564,71.132,-104.667;Time=894;Scoretype=kills
KILL;VictimName=7USMC -Kwiot-;VictimTeam=2;VictimPos=-10.136,66.895,-111.890;VictimKit=UP_Scout;VictimVehicle=up_cpl;Time=894
ENTER PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=type95_hago;Time=897
SCORE ScoreDiff=1;PlayerName=2IG|18 GGarrido;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=fh1_25mmaa;PlayerPos=9.958,68.435,-88.167;Time=900;Scoretype=kills
KILL;AttackerName=2IG|18 GGarrido;AttackerTeam=1;AttackerPos=9.958,68.435,-88.167;VictimName=1IUSMC Haraldt;VictimTeam=2;VictimPos=-31.256,69.287,-73.327;VictimKit=UW_Engineer_M1903a1_Satchel_nowrench;VictimVehicle=up_cpl;AttackerKit=JP_Engineer_type93;AttackerVehicle=fh1_25mmaa;AttackerWeapon=fh1_25mmaa_barrel1;Time=900
SCORE ScoreDiff=-4;PlayerName=1|USMC KarlGeorg;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=us05insinglemk30_arty_1;PlayerPos=-123.585,68.040,184.666;Time=903;Scoretype=TKs
KILL;AttackerName=1|USMC KarlGeorg;AttackerTeam=2;AttackerPos=-123.585,68.040,184.666;VictimName=5|USMC RedYuri;VictimTeam=2;VictimPos=-33.078,67.916,-46.645;VictimKit=UP_NCO;VictimVehicle=up_2Marine_sgt;AttackerKit=UP_Scout;AttackerVehicle=us05insinglemk30_arty_1;AttackerWeapon=us05insinglemk30_arty_alt_GunBarrel;Time=903
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;Time=904
ENTER PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;VehicleName=f4u1a_corsair;Time=904
SCORE ScoreDiff=1;PlayerName=2IG|18 GGarrido;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=fh1_25mmaa;PlayerPos=9.958,68.435,-88.167;Time=906;Scoretype=kills
KILL;AttackerName=2IG|18 GGarrido;AttackerTeam=1;AttackerPos=9.958,68.435,-88.167;VictimName=7|USMC Spindrifter49;VictimTeam=2;VictimPos=-30.426,68.562,-87.981;VictimKit=UP_RifleAssault;VictimVehicle=up_pvt;AttackerKit=JP_Engineer_type93;AttackerVehicle=fh1_25mmaa;AttackerWeapon=fh1_25mmaa_barrel2;Time=906
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;Time=907
SCORE ScoreDiff=1;PlayerName=2IG|18 DanielNL;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=type97_chiha;PlayerPos=7.229,70.743,-104.900;Time=910;Scoretype=kills
KILL;AttackerName=2IG|18 DanielNL;AttackerTeam=1;AttackerPos=7.229,70.743,-104.900;VictimName=H|USMC florianmehne;VictimTeam=2;VictimPos=-2.457,68.052,-99.016;VictimKit=UP_Scout;VictimVehicle=up_cpl;AttackerKit=JP_Engineer_type93;AttackerVehicle=type97_chiha;AttackerWeapon=type97_chiha_cannonHE;Time=910
SCORE ScoreDiff=1;PlayerName=1|1USM Shogun007;PlayerTeam=2;PlayerKit=UP_LMG_Limited;PlayerVehicle=up_pvt;PlayerPos=-33.693,68.927,-50.426;Time=915;Scoretype=kills
KILL;AttackerName=1|1USM Shogun007;AttackerTeam=2;AttackerPos=-33.693,68.927,-50.426;VictimName=2IG|15 papa@FH2;VictimTeam=1;VictimPos=-28.565,68.758,-48.678;VictimKit=JP_Engineer_type93;VictimVehicle=jp_rilfe_khaki;AttackerKit=UP_LMG_Limited;AttackerVehicle=up_pvt;AttackerWeapon=bar18a2_slow;Time=915
SCORE ScoreDiff=1;PlayerName=2IG|15 papa@FH2;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=jp_rilfe_khaki;PlayerPos=-28.565,68.758,-48.678;Time=915;Scoretype=kills
KILL;AttackerName=2IG|15 papa@FH2;AttackerTeam=1;AttackerPos=-28.565,68.758,-48.678;VictimName=1|1USM Shogun007;VictimTeam=2;VictimPos=-33.693,68.927,-50.426;VictimKit=UP_LMG_Limited;VictimVehicle=up_pvt;AttackerKit=JP_Engineer_type93;AttackerVehicle=jp_rilfe_khaki;AttackerWeapon=arisaka1;Time=915
SCORE ScoreDiff=1;PlayerName=1|USMC Seng711;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=up_cpl;PlayerPos=-33.449,67.908,-46.709;Time=916;Scoretype=kills
KILL;AttackerName=1|USMC Seng711;AttackerTeam=2;AttackerPos=-33.449,67.908,-46.709;VictimName=2IG|15 GABBOTTO;VictimTeam=1;VictimPos=-25.827,68.474,-26.095;VictimKit=JP_Engineer_type93;VictimVehicle=8inch_defgun;AttackerKit=UP_Scout;AttackerVehicle=up_cpl;AttackerWeapon=m1garand;Time=916
EXIT PlayerName=2IG|15 GABBOTTO;PlayerTeam=1;VehicleName=8inch_defgun;VehicleTime=45.7;Time=916
ENTER PlayerName= [F|H]Quicksilver;PlayerTeam=2;VehicleName=type99_emp_bipod;Time=917
SCORE ScoreDiff=1;PlayerName=2IG|15 knokworst;PlayerTeam=1;PlayerKit=JP_LMG_Limited;PlayerVehicle=jp_rilfe_khaki;PlayerPos=-24.779,68.442,-39.217;Time=921;Scoretype=kills
KILL;AttackerName=2IG|15 knokworst;AttackerTeam=1;AttackerPos=-24.779,68.442,-39.217;VictimName=1[1MD] HochuDeutschmeis;VictimTeam=2;VictimPos=-27.163,68.414,-45.888;VictimKit=UP_SMGAssault;VictimVehicle=up_pvt;AttackerKit=JP_LMG_Limited;AttackerVehicle=jp_rilfe_khaki;AttackerWeapon=type99_k;Time=921
EXIT PlayerName= [F|H]Quicksilver;PlayerTeam=2;VehicleName=type99_emp_bipod;VehicleTime=8.4;Time=926
EXIT PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type97_chiha;VehicleTime=64.5;Time=930
ENTER PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type97_chiha;Time=930
EXIT PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type97_chiha;VehicleTime=0.7;Time=931
ENTER PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type97_chiha;Time=931
EXIT PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type97_chiha;VehicleTime=1.9;Time=933
ENTER PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type97_chiha;Time=933
ENTER PlayerName=1IUSMC Haraldt;PlayerTeam=2;VehicleName=type99_emp_bipod;Time=934
EXIT PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type97_chiha;VehicleTime=3.8;Time=937
ENTER PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type97_chiha;Time=937
SCORE ScoreDiff=1;PlayerName=T|USMC atElmo;PlayerTeam=2;PlayerKit=UP_RifleAssault;PlayerVehicle=us05insinglemk30_arty_1;PlayerPos=-105.018,71.235,184.666;Time=945;Scoretype=kills
SCORE ScoreDiff=3;PlayerName=1|USMC Seng711;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=up_cpl;PlayerPos=-33.324,67.916,-46.712;Time=945;Scoretype=targetAssists
KILL;AttackerName=T|USMC atElmo;AttackerTeam=2;AttackerPos=-105.018,71.235,184.666;VictimName=2IG|18 DanielNL;VictimTeam=1;VictimPos=4.549,69.539,-101.818;VictimKit=JP_Engineer_type93;VictimVehicle=type97_chiha;AttackerKit=UP_RifleAssault;AttackerVehicle=us05insinglemk30_arty_1;AttackerWeapon=us05insinglemk30_arty_alt_GunBarrel;Time=945
EXIT PlayerName=2IG|18 DanielNL;PlayerTeam=1;VehicleName=type97_chiha;VehicleTime=799.1;Time=945
SCORE ScoreDiff=1;PlayerName=2IG|15 [F|H]RAnDOOm;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=jp_rilfe_khaki;PlayerPos=-18.468,68.494,-46.252;Time=946;Scoretype=kills
KILL;AttackerName=2IG|15 [F|H]RAnDOOm;AttackerTeam=1;AttackerPos=-18.468,68.494,-46.252;VictimName=7|USMC Spindrifter49;VictimTeam=2;VictimPos=-32.125,68.718,-59.728;VictimKit=UP_RifleAssault;VictimVehicle=up_pvt;AttackerKit=JP_Engineer_type93;AttackerVehicle=jp_rilfe_khaki;AttackerWeapon=arisaka1;Time=946
KILL;VictimName=5|USMC GENERAL_HUN;VictimTeam=2;VictimPos=59.273,68.603,-98.031;VictimKit=UP_Engineer;VictimVehicle=f4u1a_corsair;Time=947
EXIT PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;VehicleName=f4u1a_corsair;VehicleTime=43.0;Time=947
SCORE ScoreDiff=1;PlayerName= 2IG|HQSir_Kows;PlayerTeam=1;PlayerKit=JP_Antitank_turtlemine;PlayerVehicle=jp_rilfe_khaki;PlayerPos=-36.517,68.277,-102.453;Time=948;Scoretype=kills
KILL;AttackerName= 2IG|HQSir_Kows;AttackerTeam=1;AttackerPos=-36.517,68.277,-102.453;VictimName=7|USMC Spieler4;VictimTeam=2;VictimPos=-36.246,68.277,-103.430;VictimKit=UP_RifleAssault;VictimVehicle=up_pvt;AttackerKit=JP_Antitank_turtlemine;AttackerVehicle=jp_rilfe_khaki;AttackerWeapon=type100;Time=948
ENTER PlayerName=H|USMC florianmehne;PlayerTeam=2;VehicleName=hellcat;Time=949
SCORE ScoreDiff=1;PlayerName= 2IG|HQSir_Kows;PlayerTeam=1;PlayerKit=JP_Antitank_turtlemine;PlayerVehicle=jp_rilfe_khaki;PlayerPos=-37.410,74.570,-101.216;Time=957;Scoretype=kills
KILL;AttackerName= 2IG|HQSir_Kows;AttackerTeam=1;AttackerPos=-37.410,74.570,-101.216;VictimName= [F|H]Quicksilver;VictimTeam=2;VictimPos=-38.253,74.576,-100.144;VictimKit=UP_RifleAssault;VictimVehicle=up_pvt;AttackerKit=JP_Antitank_turtlemine;AttackerVehicle=jp_rilfe_khaki;AttackerWeapon=type100;Time=957
SCORE ScoreDiff=-1;PlayerName=5|USMC Tutvys;PlayerTeam=2;PlayerKit=JP_PickUpFlamethrower;PlayerVehicle=up_pvt;PlayerPos=-38.542,74.584,-100.154;Time=959;Scoretype=suicides
KILL;AttackerName=5|USMC Tutvys;AttackerTeam=2;AttackerPos=-38.542,74.584,-100.154;VictimName=5|USMC Tutvys;VictimTeam=2;VictimPos=-38.542,74.584,-100.154;VictimKit=JP_PickUpFlamethrower;VictimVehicle=up_pvt;AttackerKit=JP_PickUpFlamethrower;AttackerVehicle=up_pvt;AttackerWeapon=flamethrowerm1a1;Time=959
SCORE ScoreDiff=1;PlayerName=5|USMC Tutvys;PlayerTeam=2;PlayerKit=Unknown;PlayerVehicle=MultiPlayerFreeCamera;PlayerPos=-38.542,74.584,-100.154;Time=959;Scoretype=kills
KILL;AttackerName=5|USMC Tutvys;AttackerTeam=2;AttackerPos=-38.542,74.584,-100.154;VictimName= 2IG|HQSir_Kows;VictimTeam=1;VictimPos=-38.256,74.584,-100.191;VictimKit=JP_Antitank_turtlemine;VictimVehicle=jp_rilfe_khaki;AttackerKit=Unknown;AttackerVehicle=MultiPlayerFreeCamera;AttackerWeapon=flamethrowerm1a1;Time=959
EXIT PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;VehicleTime=56.1;Time=963
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;Time=963
SCORE ScoreDiff=1;PlayerName=1|USMC KarlGeorg;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=us05insinglemk30_arty_1;PlayerPos=-123.585,68.040,184.666;Time=964;Scoretype=kills
SCORE ScoreDiff=3;PlayerName=1|USMC Seng711;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=up_cpl;PlayerPos=-33.701,67.916,-46.816;Time=964;Scoretype=targetAssists
KILL;AttackerName=1|USMC KarlGeorg;AttackerTeam=2;AttackerPos=-123.585,68.040,184.666;VictimName=2IG|15 GABBOTTO;VictimTeam=1;VictimPos=-25.285,70.198,-26.502;VictimKit=JP_Engineer_type93;VictimVehicle=jp_rilfe_khaki;AttackerKit=UP_Scout;AttackerVehicle=us05insinglemk30_arty_1;AttackerWeapon=us05insinglemk30_arty_alt_GunBarrel;Time=964
EXIT PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;VehicleTime=2.8;Time=966
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;Time=966
EXIT PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;VehicleTime=8.1;Time=974
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;Time=974
SCORE ScoreDiff=1;PlayerName=1IUSMC Haraldt;PlayerTeam=2;PlayerKit=UW_Engineer_M1903a1_Satchel_nowrench;PlayerVehicle=type99_emp_bipod;PlayerPos=-41.302,67.140,-68.959;Time=974;Scoretype=kills
KILL;AttackerName=1IUSMC Haraldt;AttackerTeam=2;AttackerPos=-41.302,67.140,-68.959;VictimName=2IG|15 papa@FH2;VictimTeam=1;VictimPos=-22.345,72.400,-32.542;VictimKit=JP_Engineer_type93;VictimVehicle=jp_rilfe_khaki;AttackerKit=UW_Engineer_M1903a1_Satchel_nowrench;AttackerVehicle=type99_emp_bipod;AttackerWeapon=type99_armament;Time=974
SCORE ScoreDiff=1;PlayerName=2IGI24 Lebowski(rus);PlayerTeam=1;PlayerKit=jp_RifleAssault;PlayerVehicle=aichi_val;PlayerPos=82.530,74.857,74.287;Time=977;Scoretype=Unknown
SCORE ScoreDiff=1;PlayerName=2IGI24 Lebowski(rus);PlayerTeam=1;PlayerKit=jp_RifleAssault;PlayerVehicle=aichi_val;PlayerPos=82.530,74.857,74.287;Time=977;Scoretype=kills
KILL;AttackerName=2IGI24 Lebowski(rus);AttackerTeam=1;AttackerPos=82.530,74.857,74.287;VictimName=7USMC michaelau999;VictimTeam=2;VictimPos=81.931,65.168,74.114;VictimKit=UP_Scout;VictimVehicle=lcvp;AttackerKit=jp_RifleAssault;AttackerVehicle=aichi_val;AttackerWeapon=aichi_val_50kg_bombs;Time=977
EXIT PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lcvp;VehicleTime=2.7;Time=977
SCORE ScoreDiff=1;PlayerName=1|USMC Seng711;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=up_cpl;PlayerPos=-33.769,67.908,-46.857;Time=978;Scoretype=kills
KILL;AttackerName=1|USMC Seng711;AttackerTeam=2;AttackerPos=-33.769,67.908,-46.857;VictimName=2IG|15 knokworst;VictimTeam=1;VictimPos=-32.657,67.060,-35.967;VictimKit=JP_LMG_Limited;VictimVehicle=jp_rilfe_khaki;AttackerKit=UP_Scout;AttackerVehicle=up_cpl;AttackerWeapon=m1garand;Time=978
EXIT PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=type95_hago;VehicleTime=82.2;Time=979
ENTER PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=type95_hago;Time=979
ENTER PlayerName=2IG|24 R0I0R;PlayerTeam=1;VehicleName=a6m_zero;Time=983
EXIT PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=type95_hago;VehicleTime=4.3;Time=983
ENTER PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=type95_hago;Time=983
SCORE ScoreDiff=1;PlayerName=1|USMC KarlGeorg;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=us05insinglemk30_arty_1;PlayerPos=-123.585,68.040,184.666;Time=984;Scoretype=kills
SCORE ScoreDiff=3;PlayerName=1|USMC Seng711;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=up_cpl;PlayerPos=-33.796,67.916,-46.856;Time=984;Scoretype=targetAssists
KILL;AttackerName=1|USMC KarlGeorg;AttackerTeam=2;AttackerPos=-123.585,68.040,184.666;VictimName=2IG|15 The_Spine;VictimTeam=1;VictimPos=-13.849,68.881,-54.456;VictimKit=jp_Scout;VictimVehicle=jp_rilfe_khaki;AttackerKit=UP_Scout;AttackerVehicle=us05insinglemk30_arty_1;AttackerWeapon=us05insinglemk30_arty_alt_GunBarrel;Time=984
EXIT PlayerName=1IUSMC Haraldt;PlayerTeam=2;VehicleName=type99_emp_bipod;VehicleTime=54.3;Time=989
SCORE ScoreDiff=1;PlayerName=1|USMC Seng711;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=up_cpl;PlayerPos=-33.771,67.908,-46.845;Time=989;Scoretype=kills
KILL;AttackerName=1|USMC Seng711;AttackerTeam=2;AttackerPos=-33.771,67.908,-46.845;VictimName=[2IG] Otto1;VictimTeam=1;VictimPos=-32.751,66.982,-35.976;VictimKit=JP_LMG_Limited;VictimVehicle=jp_rilfe_khaki;AttackerKit=UP_Scout;AttackerVehicle=up_cpl;AttackerWeapon=m1garand;Time=989
EXIT PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=type95_hago;VehicleTime=9.3;Time=993
ENTER PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=type95_hago;Time=993
SCORE ScoreDiff=1;PlayerName=1|1USM Shogun007;PlayerTeam=2;PlayerKit=UP_LMG_Limited;PlayerVehicle=up_pvt;PlayerPos=-33.518,68.998,-50.237;Time=993;Scoretype=kills
SCORE ScoreDiff=1;PlayerName=7USMC -Kwiot-;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=up_cpl;PlayerPos=-41.282,68.151,-75.524;Time=993;Scoretype=damageAssists
KILL;AttackerName=1|1USM Shogun007;AttackerTeam=2;AttackerPos=-33.518,68.998,-50.237;VictimName=2IG|15 [F|H]RAnDOOm;VictimTeam=1;VictimPos=-23.304,69.003,-44.755;VictimKit=JP_Engineer_type93;VictimVehicle=jp_rilfe_khaki;AttackerKit=UP_LMG_Limited;AttackerVehicle=up_pvt;AttackerWeapon=bar18a2_slow;Time=993
KILL;VictimName=2IG|24 R0I0R;VictimTeam=1;VictimPos=31.948,69.884,-98.910;VictimKit=JP_Engineer_type93;VictimVehicle=a6m_zero;Time=993
EXIT PlayerName=2IG|24 R0I0R;PlayerTeam=1;VehicleName=a6m_zero;VehicleTime=10.5;Time=993
EXIT PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=type95_hago;VehicleTime=9.0;Time=1002
ENTER PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=type95_hago;Time=1002
SCORE ScoreDiff=1;PlayerName=T|USMC atElmo;PlayerTeam=2;PlayerKit=UP_RifleAssault;PlayerVehicle=us05insinglemk30_arty_1;PlayerPos=-105.018,71.235,184.666;Time=1006;Scoretype=kills
SCORE ScoreDiff=3;PlayerName=1|USMC Seng711;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=up_cpl;PlayerPos=-33.699,67.916,-46.834;Time=1006;Scoretype=targetAssists
KILL;AttackerName=T|USMC atElmo;AttackerTeam=2;AttackerPos=-105.018,71.235,184.666;VictimName=2IGI18 luacha2000;VictimTeam=1;VictimPos=-24.659,70.149,-32.101;VictimKit=jp_RifleAssault;VictimVehicle=jp_rilfe_khaki;AttackerKit=UP_RifleAssault;AttackerVehicle=us05insinglemk30_arty_1;AttackerWeapon=us05insinglemk30_arty_alt_GunBarrel;Time=1006
SCORE ScoreDiff=1;PlayerName=5|USMC pr0z4c;PlayerTeam=2;PlayerKit=JP_PickUpSniper;PlayerVehicle=up_cpl;PlayerPos=-35.971,74.570,-103.744;Time=1006;Scoretype=kills
KILL;AttackerName=5|USMC pr0z4c;AttackerTeam=2;AttackerPos=-35.971,74.570,-103.744;VictimName=2IG|18 GGarrido;VictimTeam=1;VictimPos=9.958,68.435,-88.167;VictimKit=JP_Engineer_type93;VictimVehicle=fh1_25mmaa;AttackerKit=JP_PickUpSniper;AttackerVehicle=up_cpl;AttackerWeapon=arisaka_scope;Time=1006
EXIT PlayerName=2IG|18 GGarrido;PlayerTeam=1;VehicleName=fh1_25mmaa;VehicleTime=222.5;Time=1006
SCORE ScoreDiff=1;PlayerName=H|USMC florianmehne;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=hellcat;PlayerPos=65.100,141.672,78.767;Time=1007;Scoretype=kills
KILL;AttackerName=H|USMC florianmehne;AttackerTeam=2;AttackerPos=65.100,141.672,78.767;VictimName=2IGI24 Lebowski(rus);VictimTeam=1;VictimPos=67.756,142.443,65.560;VictimKit=jp_RifleAssault;VictimVehicle=aichi_val;AttackerKit=UP_Scout;AttackerVehicle=hellcat;AttackerWeapon=hellcat_50cals;Time=1007
EXIT PlayerName=2IGI24 Lebowski(rus);PlayerTeam=1;VehicleName=aichi_val;VehicleTime=286.7;Time=1007
SCORE ScoreDiff=-1;PlayerName= 2IG|HQSir_Kows;PlayerTeam=1;PlayerKit=JP_Antitank_turtlemine;PlayerVehicle=jp_rilfe_khaki;PlayerPos=26.807,68.566,-99.816;Time=1008;Scoretype=suicides
KILL;AttackerName= 2IG|HQSir_Kows;AttackerTeam=1;AttackerPos=26.807,68.566,-99.816;VictimName= 2IG|HQSir_Kows;VictimTeam=1;VictimPos=26.807,68.566,-99.816;VictimKit=JP_Antitank_turtlemine;VictimVehicle=jp_rilfe_khaki;AttackerKit=JP_Antitank_turtlemine;AttackerVehicle=jp_rilfe_khaki;Time=1008
ENTER PlayerName=1[1MD] HochuDeutschmeis;PlayerTeam=2;VehicleName=75mmdp;Time=1009
SCORE ScoreDiff=1;PlayerName=2IGI24 Lebowski(rus);PlayerTeam=1;PlayerKit=Unknown;PlayerVehicle=MultiPlayerFreeCamera;PlayerPos=67.756,142.443,65.560;Time=1009;Scoretype=kills
KILL;VictimName=H|USMC florianmehne;VictimTeam=2;VictimPos=61.958,137.655,45.340;VictimKit=UP_Scout;VictimVehicle=hellcat;Time=1009
EXIT PlayerName=H|USMC florianmehne;PlayerTeam=2;VehicleName=hellcat;VehicleTime=59.6;Time=1009
EXIT PlayerName=2IG|15 Ephiriel;PlayerTeam=1;VehicleName=75mmdp;VehicleTime=768.3;Time=1009
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=m3a1_stuart_pacific;Time=1016
EXIT PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=115.0;Time=1019
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;Time=1019
SCORE ScoreDiff=1;PlayerName=1IUSMC Haraldt;PlayerTeam=2;PlayerKit=UW_Engineer_M1903a1_Satchel_nowrench;PlayerVehicle=up_cpl;PlayerPos=-32.596,68.755,-52.978;Time=1019;Scoretype=kills
KILL;AttackerName=1IUSMC Haraldt;AttackerTeam=2;AttackerPos=-32.596,68.755,-52.978;VictimName=2IG|15 GABBOTTO;VictimTeam=1;VictimPos=-24.117,68.463,-53.278;VictimKit=jp_Scout;VictimVehicle=jp_rilfe_khaki;AttackerKit=UW_Engineer_M1903a1_Satchel_nowrench;AttackerVehicle=up_cpl;AttackerWeapon=m1903a1;Time=1019
SCORE ScoreDiff=-1;PlayerName=2IG|15 papa@FH2;PlayerTeam=1;PlayerKit=JP_PickUpFlamethrower;PlayerVehicle=jp_rilfe_khaki;PlayerPos=-24.236,68.850,-46.569;Time=1029;Scoretype=suicides
KILL;AttackerName=2IG|15 papa@FH2;AttackerTeam=1;AttackerPos=-24.236,68.850,-46.569;VictimName=2IG|15 papa@FH2;VictimTeam=1;VictimPos=-24.236,68.850,-46.569;VictimKit=JP_PickUpFlamethrower;VictimVehicle=jp_rilfe_khaki;AttackerKit=JP_PickUpFlamethrower;AttackerVehicle=jp_rilfe_khaki;AttackerWeapon=flamethrowerm1a1;Time=1029
SCORE ScoreDiff=1;PlayerName=2IG|15 papa@FH2;PlayerTeam=1;PlayerKit=Unknown;PlayerVehicle=MultiPlayerFreeCamera;PlayerPos=-24.236,68.850,-46.569;Time=1030;Scoretype=kills
KILL;AttackerName=2IG|15 papa@FH2;AttackerTeam=1;AttackerPos=-24.236,68.850,-46.569;VictimName=1|1USM Shogun007;VictimTeam=2;VictimPos=-33.023,69.139,-50.425;VictimKit=UP_LMG_Limited;VictimVehicle=up_pvt;AttackerKit=Unknown;AttackerVehicle=MultiPlayerFreeCamera;AttackerWeapon=flamethrowerm1a1;Time=1030
SCORE ScoreDiff=1;PlayerName=1|USMC Hawk2k9;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=lvt-4;PlayerPos=-32.602,67.173,-35.679;Time=1030;Scoretype=kills
